,method,step,rmse
291,unified,92,0.2401565220621191
292,unified,93,0.2297332114200754
293,unified,94,0.2694540751907211
294,unified,95,0.2642355864587451
295,unified,96,0.25895908916413835
296,unified,97,0.263528246671981
297,unified,98,0.23176112703972018
298,unified,99,0.26065152423340016
299,unified,100,0.20975371255649836
300,unified_quantile,1,0.05930664565873678
301,unified_quantile,2,0.05872435034178148
302,unified_quantile,3,0.0711757135441435
303,unified_quantile,4,0.07763880475267278
304,unified_quantile,5,0.06590152317036467
305,unified_quantile,6,0.05048353513239563
306,unified_quantile,7,0.07109851693002119
307,unified_quantile,8,0.0533101284288769
308,unified_quantile,9,0.05101010864107693
309,unified_quantile,10,0.05647688073567427
310,unified_quantile,11,0.05413582377183125
311,unified_quantile,12,0.049030402411800476
312,unified_quantile,13,0.0653050024574842
313,unified_quantile,14,0.06153067037152125
314,unified_quantile,15,0.06845708776848597
315,unified_quantile,16,0.07361358180616746
316,unified_quantile,17,0.09026965949501664
317,unified_quantile,18,0.07905937671121059
318,unified_quantile,19,0.07270719921140817
319,unified_quantile,20,0.07300199947356298
320,unified_quantile,21,0.06528049367207686
321,unified_quantile,22,0.07881807696978557
322,unified_quantile,23,0.07272435050244935
323,unified_quantile,24,0.08592060224130381
324,unified_quantile,25,0.09105541274269048
325,unified_quantile,26,0.08635644999832337
326,unified_quantile,27,0.11197366208888222
327,unified_quantile,28,0.10156432693795572
328,unified_quantile,29,0.09080080070681497
329,unified_quantile,30,0.10595404357750307
330,unified_quantile,31,0.08752949782113775
331,unified_quantile,32,0.08754283219007196
332,unified_quantile,33,0.12370694765641173
333,unified_quantile,34,0.1167268437236617
334,unified_quantile,35,0.13926481428042528
335,unified_quantile,36,0.11164960771834251
336,unified_quantile,37,0.09976503337000117
337,unified_quantile,38,0.15128687861979392
338,unified_quantile,39,0.16257414526294756
339,unified_quantile,40,0.17655360461626754
340,unified_quantile,41,0.12211619147438448
341,unified_quantile,42,0.15625802792889099
342,unified_quantile,43,0.15950215018422387
343,unified_quantile,44,0.15485584177664657
344,unified_quantile,45,0.15182796104368812
345,unified_quantile,46,0.15849972557274772
346,unified_quantile,47,0.11958764018047803
347,unified_quantile,48,0.12296596679113914
348,unified_quantile,49,0.17044675832671757
349,unified_quantile,50,0.140589549674332
350,unified_quantile,51,0.13183854511729068
351,unified_quantile,52,0.21277768912513162
352,unified_quantile,53,0.13536550535593472
353,unified_quantile,54,0.09957463452201881
354,unified_quantile,55,0.15929843857518075
355,unified_quantile,56,0.22887701764812696
356,unified_quantile,57,0.11897685857045158
357,unified_quantile,58,0.13727483482830488
358,unified_quantile,59,0.26758896025887147
359,unified_quantile,60,0.2076238200685475
360,unified_quantile,61,0.11402893615919871
361,unified_quantile,62,0.1653546422078893
