,method,step,rmse
333,unified_quantile,34,0.14998157091181458
334,unified_quantile,35,0.12105114697258919
335,unified_quantile,36,0.08780225953011588
336,unified_quantile,37,0.13729832995068794
337,unified_quantile,38,0.10096196020263742
338,unified_quantile,39,0.09303725736883932
339,unified_quantile,40,0.12339057235432047
340,unified_quantile,41,0.19360789442274048
341,unified_quantile,42,0.1310202714064315
342,unified_quantile,43,0.08754374764146494
343,unified_quantile,44,0.1089755388684798
344,unified_quantile,45,0.18941330872845072
345,unified_quantile,46,0.10140941462942121
346,unified_quantile,47,0.13920753063397814
347,unified_quantile,48,0.11377650039081826
348,unified_quantile,49,0.18771169586974065
349,unified_quantile,50,0.11936033584172855
350,unified_quantile,51,0.1685717690016923
351,unified_quantile,52,0.1678256212407356
352,unified_quantile,53,0.08064917031071245
353,unified_quantile,54,0.08461884595977777
354,unified_quantile,55,0.24218120559435663
355,unified_quantile,56,0.18408695022508997
356,unified_quantile,57,0.1511348119746766
357,unified_quantile,58,0.10369137514027021
358,unified_quantile,59,0.11978125947018918
359,unified_quantile,60,0.023245667835352528
360,unified_quantile,61,0.10121161128884025
361,unified_quantile,62,0.16951191409155628
362,unified_quantile,63,0.16774744360478966
363,unified_quantile,64,0.2374021626757162
364,unified_quantile,65,0.22936402204530743
365,unified_quantile,66,0.1739229493109484
366,unified_quantile,67,0.024380390334966015
367,unified_quantile,68,0.14201242697763586
368,unified_quantile,69,0.1516608003378289
369,unified_quantile,70,0.10048107612523408
370,unified_quantile,71,0.08211587745065578
371,unified_quantile,72,0.1874149929916181
372,unified_quantile,73,0.1651658480806076
373,unified_quantile,74,0.05503112077713013
374,unified_quantile,75,0.1336646648335095
375,unified_quantile,76,0.14584418380851968
376,unified_quantile,77,0.2595136472338065
377,unified_quantile,78,0.04387336449811879
378,unified_quantile,79,0.21381999213986919
379,unified_quantile,80,0.21439013150697686
380,unified_quantile,81,0.06670624684150414
381,unified_quantile,82,0.11222659033712135
382,unified_quantile,83,0.16101443767547607
383,unified_quantile,84,0.10479933023452759
384,unified_quantile,85,0.0332716703414917
385,unified_quantile,86,0.1702667947878801
386,unified_quantile,87,0.18169895932503743
387,unified_quantile,88,0.2043582021175059
388,unified_quantile,89,0.12811970710754395
389,unified_quantile,90,0.3004465823640758
390,unified_quantile,91,0.2297036603314894
391,unified_quantile,92,0.1314067244529724
392,unified_quantile,93,0.248474173622709
393,unified_quantile,94,0.0742115809431841
394,unified_quantile,95,0.3375635841738302
395,unified_quantile,96,0.1875780108043139
396,unified_quantile,97,0.10225486755371094
397,unified_quantile,98,0.12263541788739292
398,unified_quantile,99,0.2314692735671997
399,unified_quantile,100,0.23472919167936873
400,unified_healing,1,0.03292959037801319
401,unified_healing,2,0.0394730610303535
402,unified_healing,3,0.03397282243848574
403,unified_healing,4,0.038015683640449036
404,unified_healing,5,0.047134083894012684
405,unified_healing,6,0.03853994990513256
406,unified_healing,7,0.07184666857064813
407,unified_healing,8,0.08198270648180615
408,unified_healing,9,0.06774213246312476
409,unified_healing,10,0.0629038433466499
410,unified_healing,11,0.11473385333756635
411,unified_healing,12,0.11853711614214005
412,unified_healing,13,0.10509939821871543
413,unified_healing,14,0.1419685151267099
414,unified_healing,15,0.1252226778997022
415,unified_healing,16,0.08772922642246346
416,unified_healing,17,0.09876902400420627
417,unified_healing,18,0.12730316807635925
418,unified_healing,19,0.15093905472000713
419,unified_healing,20,0.1411074892749937
420,unified_healing,21,0.16536362109944724
421,unified_healing,22,0.18901249858327002
422,unified_healing,23,0.1825086372839652
423,unified_healing,24,0.15081164751660217
424,unified_healing,25,0.1614677409996943
425,unified_healing,26,0.18186489011478402
426,unified_healing,27,0.19900008900465843
427,unified_healing,28,0.20447248603938586
428,unified_healing,29,0.20354316452906593
429,unified_healing,30,0.21397843909141806
430,unified_healing,31,0.21955883829837636
431,unified_healing,32,0.23519539456791713
432,unified_healing,33,0.2357052969523546
433,unified_healing,34,0.22707166776638318
434,unified_healing,35,0.21950912063716405
435,unified_healing,36,0.21789383267118795
436,unified_healing,37,0.23944369675084082
437,unified_healing,38,0.24241484206438435
438,unified_healing,39,0.2414161967776146
439,unified_healing,40,0.2514962001569705
440,unified_healing,41,0.22043823287340747
441,unified_healing,42,0.20175496162842024
442,unified_healing,43,0.18887824358728034
443,unified_healing,44,0.2158303408223371
444,unified_healing,45,0.22524373923819407
445,unified_healing,46,0.22408562132567766
446,unified_healing,47,0.23943190089663172
447,unified_healing,48,0.23013726422350267
448,unified_healing,49,0.2145405836047311
449,unified_healing,50,0.21166919011331398
450,unified_healing,51,0.23838511346273222
451,unified_healing,52,0.24672205956391263
452,unified_healing,53,0.24409950794798677
453,unified_healing,54,0.2568448706008299
454,unified_healing,55,0.25304480999922624
455,unified_healing,56,0.2405367803733723
456,unified_healing,57,0.22401644368204568
457,unified_healing,58,0.22177356901387602
458,unified_healing,59,0.20959305618899307
459,unified_healing,60,0.25266184548079534
460,unified_healing,61,0.2375860396223576
461,unified_healing,62,0.22860874097965958
462,unified_healing,63,0.2076176044547288
463,unified_healing,64,0.23249294715773944
464,unified_healing,65,0.2411254985913399
465,unified_healing,66,0.24759644532436628
466,unified_healing,67,0.25319373543305507
467,unified_healing,68,0.24341016651402853
468,unified_healing,69,0.22873582748791618
469,unified_healing,70,0.23392569049838685
470,unified_healing,71,0.24974838796237842
471,unified_healing,72,0.2303240135118637
472,unified_healing,73,0.22157441810892375
473,unified_healing,74,0.22969122307812143
474,unified_healing,75,0.1947510180955681
475,unified_healing,76,0.2050357225293912
476,unified_healing,77,0.20938686384363164
477,unified_healing,78,0.23658983701084463
478,unified_healing,79,0.2039048622335245
479,unified_healing,80,0.20743014007398283
480,unified_healing,81,0.223703451526982
481,unified_healing,82,0.2054626570117849
482,unified_healing,83,0.21522585160840904
483,unified_healing,84,0.2571589415004484
484,unified_healing,85,0.2582084210820753
485,unified_healing,86,0.226101618243808
486,unified_healing,87,0.20217502225369488
487,unified_healing,88,0.21126967272275518
488,unified_healing,89,0.23600945625030045
489,unified_healing,90,0.2394000171989438
490,unified_healing,91,0.17089384960228488
491,unified_healing,92,0.21894027979817673
492,unified_healing,93,0.24484257734420165
493,unified_healing,94,0.21844506229012245
494,unified_healing,95,0.25542595100792126
495,unified_healing,96,0.23708792298496023
496,unified_healing,97,0.26372544135423975
497,unified_healing,98,0.2158454911512967
498,unified_healing,99,0.20066268659607464
499,unified_healing,100,0.18152905163699265
